time,area_h1,area_h2,area_h3,area_h4,area_h5
2675000,208529.78560284,10367.55361232,10367.553566036,10367.55360375,10367.553615052
2700000,208509.08814424,10372.727976728,10372.727930613,10372.727968556,10372.727979857
2725000,208488.29881364,10377.925309315,10377.925263445,10377.925301151,10377.925312443
2750000,208467.41271789,10383.146833598,10383.146785434,10383.146826123,10383.146836953
2775000,208446.42501236,10388.393760001,10388.393710638,10388.39375318,10388.393763821
2800000,208425.32919132,10393.667715281,10393.667665111,10393.667708899,10393.667719387
2825000,208404.11962665,10398.970106658,10398.970055652,10398.970100328,10398.970110709
2850000,208382.79052758,10404.302381696,10404.302330198,10404.302375125,10404.302385399
2875000,208361.33637856,10409.66591886,10409.665867071,10409.665912634,10409.665922869
2900000,208339.75167095,10415.062095789,10415.06204377,10415.06208961,10415.062099877
2925000,208318.03103602,10420.492254575,10420.492202328,10420.492248399,10420.492258678
2950000,208296.16921394,10425.957710021,10425.957657706,10425.957704028,10425.9577143
2975000,208274.16133803,10431.459678954,10431.459626561,10431.459673084,10431.459683372
3000000,208252.00263183,10436.999355695,10436.99930313,10436.999349551,10436.999359787
3025000,208229.68875447,10442.577825212,10442.577772494,10442.577818815,10442.577829008
3050000,208207.21566561,10448.196097556,10448.196044741,10448.196090972,10448.196101123
3075000,208184.57966182,10453.855098639,10453.855045724,10453.855091858,10453.855101953
3100000,208161.7775133,10459.555635898,10459.555582901,10459.555628922,10459.555638976
3125000,208138.80634952,10465.298426983,10465.298373859,10465.298419833,10465.298429802
3150000,208115.66378909,10471.084067208,10471.084013958,10471.084059923,10471.084069822
3175000,208092.34783699,10476.913055356,10476.913001965,10476.913047933,10476.91305775
3200000,208068.85699745,10482.785765354,10482.785711843,10482.785757812,10482.78576754
3225000,208045.19019824,10488.702465292,10488.702411637,10488.702457579,10488.702467247
3250000,208021.34678762,10494.663318058,10494.66326428,10494.66331023,10494.663319806
3275000,207997.32642067,10500.668409931,10500.66835602,10500.66840195,10500.668411423
3300000,207973.1293032,10506.71768947,10506.717635343,10506.717681283,10506.717690696
3325000,207948.75574521,10512.811079143,10512.811024774,10512.81107076,10512.811080106
3350000,207924.20647715,10518.948396311,10518.94834174,10518.948387772,10518.948397024
3375000,207899.48236571,10525.129424258,10525.129369528,10525.129415663,10525.129424836
3400000,207874.58439882,10531.353916088,10531.353861211,10531.353907396,10531.353916483
3425000,207849.51371874,10537.621586198,10537.621531208,10537.621577418,10537.621586431
3450000,207824.27144021,10543.932155915,10543.932100813,10543.93214707,10543.932155985
3475000,207798.85866993,10550.285348568,10550.285293353,10550.285339658,10550.285348489
3500000,207773.27638551,10556.680919759,10556.680864412,10556.680910795,10556.680919522
3525000,207747.52541533,10563.118662386,10563.11860689,10563.118653395,10563.118661994
3550000,207721.6063724,10569.598423201,10569.598367594,10569.598414171,10569.598422627
3575000,207695.51958466,10576.120120214,10576.120064511,10576.120111149,10576.120119467
3600000,207669.26498285,10582.683770752,10582.683714848,10582.683761682,10582.683769869
3625000,207642.84215595,10589.28947757,10589.289421447,10589.289468471,10589.289476559
3650000,207616.25029192,10595.937443571,10595.93738738,10595.937434563,10595.93744256
3675000,207589.48804026,10602.628006511,10602.627950206,10602.627997543,10602.628005478
3700000,207562.55351041,10609.361639007,10609.361582624,10609.361630049,10609.361637905
3725000,207535.44439271,10616.138918427,10616.13886201,10616.138909537,10616.138917317
3750000,207508.15752457,10622.960635485,10622.960578999,10622.960626628,10622.960634315
3775000,207480.68937037,10629.827674082,10629.827617522,10629.827665205,10629.827672815
3800000,207453.03566833,10636.741099609,10636.741043048,10636.741090725,10636.741098282
3825000,207425.19137812,10643.702172185,10643.702115552,10643.702163329,10643.702170809
3850000,207397.15083595,10650.712307812,10650.712251068,10650.712298866,10650.712306299
3875000,207368.90757896,10657.77312212,10657.773065315,10657.77311312,10657.773120478
3900000,207340.45437523,10664.886423085,10664.886366313,10664.886414055,10664.886421319
3925000,207311.78324324,10672.054206127,10672.054149321,10672.054197072,10672.054204238
3950000,207282.88543732,10679.278657648,10679.278600758,10679.278648598,10679.278655674
3975000,207253.75135396,10686.562178555,10686.562121493,10686.562169487,10686.562176504
4000000,207224.3705403,10693.907382062,10693.907324703,10693.907372986,10693.907379944
4025000,207194.73169796,10701.317092727,10701.317035161,10701.317083647,10701.317090501
4050000,207164.8228815,10708.794296912,10708.794239137,10708.794287845,10708.794294604
4075000,207134.63120224,10716.342216823,10716.342158772,10716.342207768,10716.34221439
4100000,207104.14317267,10723.964224403,10723.964166022,10723.964215194,10723.964221711
4125000,207073.3445735,10731.663874417,10731.663815697,10731.663864985,10731.663871396
4150000,207042.22066027,10739.444852978,10739.444793912,10739.44484325,10739.444849588
4175000,207010.75628802,10747.310946191,10747.310886891,10747.310936284,10747.310942615
4200000,206978.93595186,10755.266030259,10755.265970754,10755.266020447,10755.266026674
4225000,206946.74403193,10763.31401026,10763.313950584,10763.314000568,10763.314006653
4250000,206914.16520382,10771.45871734,10771.458657421,10771.458707738,10771.45871368
4275000,206881.18456567,10779.703877043,10779.703816736,10779.703867351,10779.7038732
4300000,206847.78792644,10788.053037029,10788.052976268,10788.053027243,10788.053033015
4325000,206813.96237143,10796.509426172,10796.509364814,10796.509415978,10796.509421608
4350000,206779.69643145,10805.075911603,10805.075849564,10805.075900933,10805.075906445
4375000,206744.9806581,10813.754855112,10813.754792702,10813.754844377,10813.754849702
4400000,206709.80899702,10822.547770423,10822.547707845,10822.547759672,10822.547765042
4425000,206674.17645553,10831.455905839,10831.455843029,10831.455895094,10831.45590051
4450000,206638.08198761,10840.479522851,10840.47945988,10840.479512103,10840.479517557
4475000,206601.52795507,10849.618030967,10849.617967976,10849.618020246,10849.618025734
4500000,206564.52032467,10858.869938541,10858.869875508,10858.869927877,10858.869933405
4525000,206527.06862385,10868.232863715,10868.232800639,10868.232853115,10868.23285868
4550000,206489.19095962,10877.702279859,10877.702216663,10877.702269134,10877.702274717
4575000,206450.89442539,10887.276413403,10887.276350101,10887.276402717,10887.276408385
4600000,206412.20224524,10896.949458442,10896.949395027,10896.949447774,10896.949453512
4625000,206373.13602415,10906.7160138,10906.715950041,10906.716003109,10906.716008902
4650000,206333.72869557,10916.567846021,10916.567782135,10916.567835225,10916.567841042
4675000,206293.99731024,10926.500692424,10926.500628419,10926.500681534,10926.500687379
4700000,206253.9672283,10936.508212971,10936.508148849,10936.508202003,10936.508207874
4725000,206213.664075,10946.584001355,10946.583937118,10946.583990315,10946.583996214
4750000,206173.11329501,10956.721696405,10956.721632055,10956.721685297,10956.721691229
4775000,206132.33976111,10966.915079927,10966.915015464,10966.915068763,10966.915074731
4800000,206091.36744696,10977.158158508,10977.158093932,10977.158147296,10977.1581533
4825000,206050.21915318,10987.445231993,10987.445167307,10987.445220738,10987.445226782
4850000,206008.91624751,10997.770958446,10997.770893653,10997.770947153,10997.770953236
4875000,205967.47835536,11008.130431515,11008.130366616,11008.130420193,11008.130426317
4900000,205925.92293216,11018.519287344,11018.519222339,11018.519275996,11018.519282163
4925000,205884.26469454,11028.933846777,11028.933781658,11028.933835408,11028.933841618
4950000,205842.51498151,11039.371275058,11039.371209829,11039.371263673,11039.371269923
4975000,205800.68126447,11049.829704346,11049.829639007,11049.829692941,11049.829699238
5000000,205758.76716751,11060.30822861,11060.308163162,11060.308217188,11060.308223529
5025000,205716.77340802,11070.806668507,11070.806602948,11070.806657073,11070.806663455
5050000,205674.69991782,11081.325041082,11081.32497543,11081.325029613,11081.325036049
5075000,205632.54894826,11091.862783499,11091.862717746,11091.862771999,11091.862778491
5100000,205590.32828444,11102.417949479,11102.417883627,11102.417937949,11102.417944503
5125000,205548.05315324,11112.986732297,11112.986666352,11112.98672075,11112.986727361
5150000,205505.74548942,11123.563648254,11123.563582229,11123.563636717,11123.563643374
5175000,205463.43014902,11134.142483359,11134.142417245,11134.142471837,11134.142478542
5200000,205421.12894375,11144.717784673,11144.717718478,11144.717773172,11144.717779926
5225000,205378.85422748,11155.28646374,11155.286397471,11155.286452247,11155.286459065
5250000,205336.60379858,11165.849070966,11165.849004626,11165.849059473,11165.849066356
5275000,205294.35849607,11176.410396601,11176.410330193,11176.410385093,11176.410392043
5300000,205252.08379919,11186.979070837,11186.979004363,11186.979059299,11186.97906631
5325000,205209.7372254,11197.565714299,11197.56564777,11197.565702731,11197.565709798
5350000,205167.28287365,11208.179302263,11208.179235676,11208.179290641,11208.179297769
5375000,205124.71010322,11218.822494889,11218.822428265,11218.822483217,11218.82249041
5400000,205082.04588395,11229.488549716,11229.48848305,11229.488538013,11229.488545272
5425000,205039.34958855,11240.162623562,11240.162556868,11240.162611843,11240.162619171
5450000,204996.69117084,11250.827227971,11250.82716127,11250.827216257,11250.827223661
5475000,204954.12579066,11261.468572986,11261.46850628,11261.468561296,11261.468568774
5500000,204911.67630054,11272.080945483,11272.080878778,11272.080933825,11272.080941375
5525000,204869.32598939,11282.668523239,11282.66845654,11282.668511605,11282.668519222
5550000,204827.01965088,11293.245107847,11293.245041152,11293.245096219,11293.245103895
5575000,204784.67341182,11303.831667609,11303.831600919,11303.831655962,11303.83166369
5600000,204742.19715101,11314.450732821,11314.450666129,11314.450721133,11314.450728904
5625000,204699.52954918,11325.117633294,11325.117566611,11325.117621552,11325.117629363
5650000,204656.67154284,11335.832134888,11335.832068212,11335.832123101,11335.832130959
5675000,204613.69381716,11346.576566285,11346.576499644,11346.576554505,11346.576562401
5700000,204570.7089375,11357.32278615,11357.322719556,11357.322774423,11357.322782366
