Temperature (K),Enthalpy (J/mol)
2234.8,68905.02345568
2238.2,69002.75033567997
2241.6,69100.47721568
2245.0,69198.20409568
2248.3999999999996,69295.93097567998
2251.8,69393.65785568001
2255.2,69491.38473568001
2258.6,69589.11161567998
2262.0,69686.83849568001
2265.3999999999996,69784.56537567999
2268.8,69882.29225568002
2272.2,69980.01913567999
2275.6,70077.74601568
2279.0,70175.47289568
2282.3999999999996,70273.19977567997
2285.8,70370.92665568
2289.2,70468.65353568
2292.6,70566.38041568
2296.0,70664.10729568
2299.3999999999996,70761.83417568001
2302.8,70859.56105568001
2306.2,70957.28793568001
2309.6,71055.01481567998
2313.0,71152.74169568002
2316.3999999999996,71250.46857567999
2319.8,71348.19545568002
2323.2,71445.92233567999
2326.6,71543.64921568002
2330.0,71641.37609568
2333.3999999999996,71739.10297568
2336.8,71836.82985568
2340.2,71934.55673568
2343.6,72032.28361568
2347.0,72130.01049568
2350.3999999999996,72227.73737568001
2353.8,72325.46425567998
2357.2,72423.19113568001
2360.6,72520.91801568001
2364.0,72618.64489568002
2367.3999999999996,72716.37177567999
2370.8,72814.09865567999
2374.2,72911.82553568
2377.6,73009.55241568002
2381.0,73107.27929568
2384.3999999999996,73205.00617568
2387.8,73302.73305568
2391.2,73400.45993568
2394.6,73498.18681568
2398.0,73595.91369567998
2401.3999999999996,73693.64057568001
2404.8,73791.36745567998
2408.2,73889.09433567998
2411.6,73986.82121567999
2415.0,74084.54809567999
2418.3999999999996,74182.27497567999
2421.8,74280.00185568002
2425.2,74377.72873568
2428.6,74475.45561567997
2432.0,74573.18249568
2435.3999999999996,74670.90937567997
2438.8,74768.63625568
2442.2,74866.36313567997
2445.6,74964.09001568
2449.0,75061.81689567998
2452.3999999999996,75159.54377567998
2455.8,75257.27065568004
2459.2,75354.99753567998
2462.6,75452.72441568002
2466.0,75550.45129568002
2469.3999999999996,75648.17817567999
2472.8,75745.90505568002
2476.2,75843.63193568002
2479.6,75941.35881568
2483.0,76039.08569568003
2486.3999999999996,76136.81257567997
2489.8,76234.53945567997
2493.2,76332.26633567997
2496.6,76429.99321568
2500.0,76527.72009568001
