temperature,Points:0
1041.5,0.002968
1041.6,0.002976
1041.8,0.002984
1041.9,0.002992
1042.1,0.003
1042.2,0.003008
1042.4,0.003016
1042.5,0.003024
1042.7,0.003032
1042.9,0.00304
1043,0.003048
1043.2,0.003056
1043.3,0.003064
1043.5,0.003072
1043.6,0.00308
1043.8,0.003088
1043.9,0.003096
1044.1,0.003104
1044.3,0.003112
1044.4,0.00312
1044.6,0.003128
1044.8,0.003136
1044.9,0.003144
1045.1,0.003152
1045.3,0.00316
1045.4,0.003168
1045.6,0.003176
1045.7,0.003184
1045.9,0.003192
1046.1,0.0032
1046.2,0.003208
1046.4,0.003216
1046.6,0.003224
1046.7,0.003232
1046.9,0.00324
1047.1,0.003248
1047.3,0.003256
1047.4,0.003264
1047.6,0.003272
1047.8,0.00328
1047.9,0.003288
1048.1,0.003296
1048.3,0.003304
1048.5,0.003312
1048.6,0.00332
1048.8,0.003328
1049,0.003336
1049.2,0.003344
1049.3,0.003352
1049.5,0.00336
1049.7,0.003368
1049.9,0.003376
1050.1,0.003384
1050.2,0.003392
1050.4,0.0034
1050.6,0.003408
1050.8,0.003416
1051,0.003424
1051.2,0.003432
1051.3,0.00344
1051.5,0.003448
1051.7,0.003456
1051.9,0.003464
1052.1,0.003472
1052.3,0.00348
1052.4,0.003488
1052.6,0.003496
1052.8,0.003504
1053,0.003512
1053.2,0.00352
1053.4,0.003528
1053.6,0.003536
1053.8,0.003544
1054,0.003552
1054.2,0.00356
1054.4,0.003568
1054.5,0.003576
1054.7,0.003584
1054.9,0.003592
1055.1,0.0036
1055.3,0.003608
1055.5,0.003616
1055.7,0.003624
1055.9,0.003632
1056.1,0.00364
1056.3,0.003648
1056.5,0.003656
1056.7,0.003664
1056.9,0.003672
1057.1,0.00368
1057.3,0.003688
1057.5,0.003696
1057.7,0.003704
1057.9,0.003712
1058.1,0.00372
1058.3,0.003728
1058.5,0.003736
1058.7,0.003744
1059,0.003752
1059.2,0.00376
1059.4,0.003768
1059.6,0.003776
