Temperature (K),Enthalpy (J/mol)
2316.3999999999996,73026.42633071961
2319.8,73146.54017071938
2323.2,73266.65401071962
2326.6,73386.76785071939
2330.0,73506.88169071916
2333.3999999999996,73626.99553071987
2336.8,73747.10937071964
2340.2,73867.22321071988
2343.6,73987.33705071965
2347.0,74107.45089071989
2350.3999999999996,74227.56473071966
2353.8,74347.6785707199
2357.2,74467.79241071967
2360.6,74587.90625071945
2364.0,74708.02009071968
2367.3999999999996,74828.13393071946
2370.8,74948.2477707197
2374.2,75068.36161071947
2377.6,75188.47545071924
2381.0,75308.58929071948
2384.3999999999996,75428.70313071925
2387.8,75548.81697071949
2391.2,75668.93081071973
2394.6,75789.0446507195
2398.0,75909.15849071974
2401.3999999999996,76029.27233071951
2404.8,76149.38617071975
2408.2,76269.50001071952
2411.6,76389.61385071976
2415.0,76509.72769071953
2418.3999999999996,76629.8415307193
2421.8,76749.95537071954
2425.2,76870.06921071932
2428.6,76990.18305071956
2432.0,77110.2968907198
2435.3999999999996,77230.41073071957
2438.8,77350.52457071934
2442.2,77470.63841072004
2445.6,77590.75225071888
2449.0,77710.86609071959
2452.3999999999996,77830.97993071983
2455.8,77951.09377072006
2459.2,78071.20761071937
2462.6,78191.32145071961
2466.0,78311.43529071985
2469.3999999999996,78431.54913071916
2472.8,78551.6629707194
2476.2,78671.77681071963
2479.6,78791.89065071987
2483.0,78912.00449071918
2486.3999999999996,79032.11833071988
2489.8,79152.23217071965
2493.2,79272.34601071943
2496.6,79392.4598507192
2500.0,79512.5736907199
